alpha,c_l,c_d,c_m,converged
13.38,0.5786,0.1982,-0.013855,1.0
13.39,0.5786,0.1984,-0.01391,1.0
13.4,0.579,0.1985,-0.01396,1.0
13.41,0.579,0.1986,-0.01401,1.0
13.42,0.5796,0.1987,-0.01406,1.0
13.43,0.5796,0.1989,-0.014114,1.0
13.44,0.58,0.199,-0.01417,1.0
13.45,0.58,0.1991,-0.01422,1.0
13.46,0.5806,0.1992,-0.01427,1.0
13.47,0.5806,0.1993,-0.01432,1.0
13.48,0.581,0.1995,-0.01437,1.0
13.49,0.581,0.1997,-0.01443,1.0
13.5,0.5815,0.1998,-0.01448,1.0
13.51,0.5815,0.2,-0.01453,1.0
13.52,0.582,0.2001,-0.01458,1.0
13.53,0.5825,0.2002,-0.01463,1.0
13.54,0.5825,0.2003,-0.01469,1.0
13.55,0.583,0.2004,-0.01474,1.0
13.56,0.583,0.2006,-0.01478,0.0
13.57,0.5835,0.2007,-0.01484,1.0
13.58,0.5835,0.2008,-0.01489,1.0
13.59,0.584,0.2009,-0.014946,1.0
13.6,0.4827,0.1797,-0.005756,0.0
13.61,0.5845,0.2012,-0.015045,1.0
13.62,0.5845,0.2013,-0.0151,1.0
13.63,0.585,0.2014,-0.01515,1.0
13.64,0.585,0.2017,-0.015205,1.0
13.65,0.5854,0.2018,-0.01526,1.0
13.66,0.5854,0.2019,-0.015305,1.0
13.67,0.586,0.202,-0.01536,1.0
13.68,0.586,0.2021,-0.01541,1.0
13.69,0.5864,0.2023,-0.015465,1.0
13.7,0.5864,0.2024,-0.01552,1.0
13.71,0.587,0.2025,-0.015564,1.0
13.72,0.587,0.2026,-0.01562,1.0
13.73,0.5874,0.2028,-0.01567,1.0
13.74,0.5874,0.2029,-0.01572,1.0
13.75,0.588,0.203,-0.01578,1.0
13.76,0.588,0.2031,-0.01582,1.0
13.77,0.5884,0.2032,-0.01588,1.0
13.78,0.5884,0.2035,-0.01593,1.0
13.79,0.589,0.2036,-0.01598,1.0
13.8,0.589,0.2037,-0.01604,1.0
13.81,0.5894,0.2039,-0.01608,1.0
13.82,0.5894,0.204,-0.01614,1.0
13.83,0.59,0.2041,-0.01619,1.0
13.84,0.59,0.2042,-0.01624,1.0
13.85,0.3499,0.1338,0.006714,0.0
13.86,0.5625,0.1978,-0.01284,0.0
13.87,0.591,0.2046,-0.0164,1.0
13.88,0.359,0.1411,0.006252,0.0
13.89,0.5913,0.2048,-0.0165,1.0
13.9,0.592,0.205,-0.01656,1.0
13.91,0.592,0.2051,-0.0166,1.0
13.92,0.5923,0.2053,-0.01666,1.0
13.93,0.5923,0.2054,-0.01671,1.0
